Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
6YDP_78|Chain GC[auth BI]|Mitochondrial ribosomal protein L9|Sus scrofa (9823)	0.795	Possessing mitochondrial presequence	44(MPP), 52(Oct1)	0.114	18-22,56-60,79-83	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_77|Chain FC[auth BF]|Mitochondrial ribosomal protein L4|Sus scrofa (9823)	0.852	Possessing mitochondrial presequence	20(MPP)	0.200		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_76|Chain EC[auth BE]|ICT1|Sus scrofa (9823)	0.886	Possessing mitochondrial presequence	40(MPP)	0.075	74-78	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_75|Chain DC[auth BD]|uL2m|Sus scrofa (9823)	0.984	Possessing mitochondrial presequence	52(MPP)	0.077	2-6,6-10	4-13-high	-	-	-	-	-	-	-	-	-	-	-	5-10	6-11	-	
6YDP_72|Chain ZB[auth B9]|Ribosomal protein|Sus scrofa (9823)	0.978	Possessing mitochondrial presequence	23(MPP), 24(Icp55*)	0.087		5-17-high	-	-	-	-	-	-	5-10	-	-	4-9	-	-	-	-	
6YDP_71|Chain YB[auth B8]|Mitochondrial ribosomal protein L35|Sus scrofa (9823)	0.302	No mitochondrial presequence	19(MPP)	0.105	9-13,57-61,76-80,83-87	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_70|Chain XB[auth B7]|Mitochondrial ribosomal protein L34|Sus scrofa (9823)	0.996	Possessing mitochondrial presequence	72(MPP)	0.139	8-12	4-13-high	-	-	-	-	-	-	-	-	-	3-8	-	-	-	-	
6YDP_7|Chain G[auth Ba]|Mitochondrial ribosomal protein L37|Sus scrofa (9823)	0.979	Possessing mitochondrial presequence	29(MPP)	0.207	8-12,46-50	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_69|Chain WB[auth B6]|bL33m|Sus scrofa (9823)	0.075	No mitochondrial presequence	35(MPP)	0.171	17-21	17-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_68|Chain VB[auth B5]|bL32m|Sus scrofa (9823)	0.167	No mitochondrial presequence	30(MPP)	0.100		18-27-high	-	-	-	-	-	-	19-24	-	-	-	-	-	-	-	
6YDP_67|Chain UB[auth B4]|bL31m|Sus scrofa (9823)	0.978	Possessing mitochondrial presequence	26(MPP)	0.115	7-11,12-16,24-28,36-40,49-53	6-15-high	-	-	-	-	-	-	-	-	-	-	-	11-16	12-17	-	
6YDP_66|Chain TB[auth B3]|uL30m|Sus scrofa (9823)	0.133	No mitochondrial presequence	34(MPP)	0.118	85-89	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_65|Chains MB[auth CL], NB[auth DL], OB[auth EL], PB[auth FL], QB[auth GL], RB[auth HL], SB[auth LL]|Mitochondrial ribosomal protein L12|Sus scrofa (9823)	0.952	Possessing mitochondrial presequence	39(MPP)	0.154	20-24	1-10-low	-	-	-	-	20-25	-	-	-	-	-	-	-	-	-	
6YDP_64|Chain LB[auth Ap]|28S ribosomal protein S18b, mitochondrial|Sus scrofa (9823)	0.434	Possessing mitochondrial presequence	21(MPP)	0.143		4-13-high	-	-	-	-	-	-	-	-	8-13	-	-	-	-	-	
6YDP_63|Chain KB[auth Ao]|Pentatricopeptide repeat domain 3|Sus scrofa (9823)	0.957	Possessing mitochondrial presequence	36(MPP), 37(Icp55*)	0.194	65-69	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_62|Chain JB[auth An]|Aurora kinase A interacting protein 1|Sus scrofa (9823)	0.985	Possessing mitochondrial presequence	38(MPP)	0.158	10-14	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_60|Chain HB[auth Ak]|Mitochondrial ribosomal protein S35|Sus scrofa (9823)	0.588	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.143		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_6|Chain F[auth BY]|uL24m|Sus scrofa (9823)	0.141	No mitochondrial presequence	21(MPP)	0.143		3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_59|Chain GB[auth Aj]|mS34|Sus scrofa (9823)	0.118	No mitochondrial presequence	10(MPP)	0.500	76-80	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_57|Chain EB[auth Ah]|Mitochondrial ribosomal protein S31|Sus scrofa (9823)	0.349	No mitochondrial presequence	50(MPP)	0.060	47-51	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_56|Chain DB[auth Ag]|Death associated protein 3|Sus scrofa (9823)	0.854	Possessing mitochondrial presequence	21(MPP)	0.095	18-22	14-25-high	-	-	-	-	-	-	-	-	-	-	-	-	18-23	-	
6YDP_55|Chain CB[auth B2]|Mitochondrial ribosomal protein L47|Sus scrofa (9823)	0.989	Possessing mitochondrial presequence	56(MPP), 64(Oct1)	0.143	16-20,19-23	9-18-high	-	-	-	-	16-21	-	-	-	8-13	-	7-12	-	-	-	
6YDP_54|Chain BB[auth Af]|Mitoribosomal protein ms28, mrps28|Sus scrofa (9823)	0.614	Possessing mitochondrial presequence	28(MPP)	0.214	16-20	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_53|Chain AB[auth Ae]|Mitochondrial ribosomal protein S27|Sus scrofa (9823)	0.946	Possessing mitochondrial presequence	28(MPP)	0.250	72-76	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_52|Chain ZA[auth Ad]|Mitochondrial ribosomal protein S26|Sus scrofa (9823)	0.993	Possessing mitochondrial presequence	26(MPP)	0.154	1-5,39-43	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_50|Chain XA[auth Ab]|mS23|Sus scrofa (9823)	0.108	No mitochondrial presequence	51(MPP)	0.098	96-100	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_49|Chain WA[auth Aa]|Mitochondrial ribosomal protein S22|Sus scrofa (9823)	0.045	No mitochondrial presequence	75(MPP)	0.120	19-23	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_44|Chain RA[auth AR]|Mitochondrial ribosomal protein S18C|Sus scrofa (9823)	0.163	No mitochondrial presequence	38(MPP)	0.079	63-67	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_43|Chain QA[auth AQ]|uS17m|Sus scrofa (9823)	0.210	No mitochondrial presequence	33(MPP)	0.212	14-18,30-34,39-43,65-69	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_42|Chain PA[auth AP]|28S ribosomal protein S16, mitochondrial|Sus scrofa (9823)	0.947	Possessing mitochondrial presequence	34(MPP)	0.147	8-12,31-35,73-77,87-91	4-13-high	-	-	9-14	-	8-13	-	-	-	-	-	-	-	-	-	
6YDP_41|Chain OA[auth AO]|uS15m|Sus scrofa (9823)	0.956	Possessing mitochondrial presequence	54(MPP), 55(Icp55*)	0.148	1-5,5-9,36-40,48-52,90-94	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_40|Chain NA[auth AN]|Mitochondrial ribosomal protein S14|Sus scrofa (9823)	0.917	Possessing mitochondrial presequence	27(MPP)	0.111		9-18-high	-	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-	
6YDP_4|Chain D[auth BW]|uL22m|Sus scrofa (9823)	0.975	Possessing mitochondrial presequence	25(MPP), 26(Icp55*)	0.120	22-26,88-92	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_39|Chain MA[auth AL]|Mitochondrial ribosomal protein S12|Sus scrofa (9823)	0.980	Possessing mitochondrial presequence	29(MPP)	0.103		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_38|Chain LA[auth AK]|uS11m|Sus scrofa (9823)	0.930	Possessing mitochondrial presequence	23(MPP)	0.174		4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	2-7	
6YDP_37|Chain KA[auth AJ]|Mitochondrial ribosomal protein S10|Sus scrofa (9823)	1.000	Possessing mitochondrial presequence	20(MPP), 28(Oct1)	0.200	11-15	7-16-high	-	-	-	-	-	-	2-7	-	9-14	1-6	-	-	-	-	
6YDP_36|Chain JA[auth AI]|uS9m|Sus scrofa (9823)	0.290	No mitochondrial presequence	49(MPP)	0.102	30-34	18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_35|Chain IA[auth AG]|Mitochondrial ribosomal protein S7|Sus scrofa (9823)	0.924	Possessing mitochondrial presequence	34(MPP)	0.147	5-9,73-77	7-16-high	-	-	6-11	-	5-10	-	-	-	-	-	-	-	-	-	
6YDP_34|Chain HA[auth AF]|bS6m|Sus scrofa (9823)	0.827	Possessing mitochondrial presequence	73(MPP)	0.205		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_33|Chain GA[auth AE]|Mitochondrial ribosomal protein S5|Sus scrofa (9823)	0.493	Possessing mitochondrial presequence	86(MPP), 87(Icp55*)	0.047	4-8	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_32|Chain FA[auth AC]|Mitochondrial ribosomal protein S24|Sus scrofa (9823)	0.762	Possessing mitochondrial presequence	27(MPP)	0.074	24-28,58-62,92-96	17-28-high	-	-	-	-	24-29	-	-	-	-	-	-	-	-	-	
6YDP_31|Chain EA[auth AB]|Mitochondrial ribosomal protein S2|Sus scrofa (9823)	0.507	Possessing mitochondrial presequence	39(MPP)	0.128	7-11	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_3|Chain C[auth BV]|Mitochondrial ribosomal protein L21|Sus scrofa (9823)	0.979	Possessing mitochondrial presequence	43(MPP)	0.140	14-18,96-100	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_29|Chain CA[auth Bx]|Mitochondrial ribosomal protein S18A|Sus scrofa (9823)	0.531	Possessing mitochondrial presequence	34(MPP)	0.118	11-15	7-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_28|Chain BA[auth B1]|Mitochondrial ribosomal protein L28|Sus scrofa (9823)	0.494	Possessing mitochondrial presequence	27(MPP)	0.148		15-24-high	-	12-17	-	-	-	10-15	-	-	-	-	-	-	-	-	
6YDP_27|Chain AA[auth Bw]|39S ribosomal protein S30, mitochondrial|Sus scrofa (9823)	0.551	Possessing mitochondrial presequence	13(MPP)	0.231	3-7,21-25,88-92	18-27-high	-	-	-	-	3-8	-	-	-	-	-	-	-	-	-	
6YDP_26|Chain Z[auth Bv]|mL64|Sus scrofa (9823)	0.800	Possessing mitochondrial presequence	24(MPP)	0.125	11-15	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_25|Chain Y[auth Bu]|mL62 (ICT1)|Sus scrofa (9823)	0.972	Possessing mitochondrial presequence	29(MPP)	0.207	3-7,45-49	18-30-high	-	-	-	-	3-8	-	-	-	-	-	-	-	-	-	
6YDP_24|Chain X[auth Bt]|Mitochondrial ribosomal protein L57|Sus scrofa (9823)	0.801	Possessing mitochondrial presequence	26(MPP)	0.308	65-69,73-77,92-96	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_23|Chain W[auth Bq]|mL54|Sus scrofa (9823)	0.995	Possessing mitochondrial presequence	34(MPP), 35(Icp55*)	0.118	3-7,15-19	4-13-high	-	-	-	-	-	-	9-14	-	1-6	-	-	-	-	-	
6YDP_22|Chain V[auth Bp]|mL53|Sus scrofa (9823)	0.710	Possessing mitochondrial presequence	32(MPP)	0.125		5-16-high	-	-	-	-	-	12-17	-	-	-	-	-	-	-	-	
6YDP_21|Chain U[auth Bo]|mL52|Sus scrofa (9823)	0.936	Possessing mitochondrial presequence	29(MPP)	0.103	74-78	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_20|Chain T[auth Bn]|Mitochondrial ribosomal protein L51|Sus scrofa (9823)	0.961	Possessing mitochondrial presequence	23(MPP), 24(Icp55*)	0.130	28-32,88-92	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_2|Chain B[auth BU]|Mitochondrial ribosomal protein L20|Sus scrofa (9823)	0.385	No mitochondrial presequence	30(MPP)	0.133	38-42,42-46,46-50	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_19|Chain S[auth Bm]|Mitochondrial ribosomal protein L50|Sus scrofa (9823)	0.864	Possessing mitochondrial presequence	44(MPP)	0.205	41-45	8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_18|Chain R[auth Bl]|Mrpl34|Sus scrofa (9823)	0.970	Possessing mitochondrial presequence	26(MPP)	0.154	9-13,48-52	4-13-high	-	-	-	-	9-14	-	-	-	-	-	-	-	-	-	
6YDP_17|Chain Q[auth Bk]|39S ribosomal protein L48, mitochondrial|Sus scrofa (9823)	0.005	No mitochondrial presequence	29(MPP)	0.000	62-66	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_16|Chain P[auth Bj]|Mitochondrial ribosomal protein L46|Sus scrofa (9823)	0.946	Possessing mitochondrial presequence	31(MPP), 32(Icp55*)	0.194	9-13	16-27-high	-	-	10-15	-	9-14	-	-	-	-	-	-	-	-	-	
6YDP_15|Chain O[auth Bi]|Mitochondrial ribosomal protein L45|Sus scrofa (9823)	0.472	Possessing mitochondrial presequence	37(MPP)	0.108	12-16	5-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_14|Chain N[auth Bh]|mL44|Sus scrofa (9823)	0.870	Possessing mitochondrial presequence	16(MPP), 17(Icp55*)	0.188	5-9	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_13|Chain M[auth Bg]|Mitochondrial ribosomal protein L43|Sus scrofa (9823)	0.959	Possessing mitochondrial presequence	29(MPP)	0.138	7-11,19-23,72-76	15-26-high	-	-	-	-	-	-	-	-	-	-	-	-	7-12	-	
6YDP_12|Chain L[auth Bf]|mL42|Sus scrofa (9823)	0.073	No mitochondrial presequence	14(MPP)	0.143	5-9,16-20	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_11|Chain K[auth Be]|Mitochondrial ribosomal protein L41|Sus scrofa (9823)	0.753	Possessing mitochondrial presequence	29(MPP)	0.207	7-11	3-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_85|Chain NC[auth BR]|Uncharacterized protein|Sus scrofa (9823)	0.840	Possessing mitochondrial presequence	39(MPP)	0.128	56-60,72-76,86-90	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_1|Chain A[auth B0]|Mitochondrial ribosomal protein L27|Sus scrofa (9823)	0.724	Possessing mitochondrial presequence	30(MPP)	0.100	27-31	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
