Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
7QI4_81|Chain CC[auth m]|39S ribosomal protein L55, mitochondrial|Homo sapiens (9606)	0.993	Possessing mitochondrial presequence	25(MPP), 33(Oct1)	0.200	48-52	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_80|Chain BC[auth l]|39S ribosomal protein L54, mitochondrial|Homo sapiens (9606)	0.585	Possessing mitochondrial presequence	30(MPP), 31(Icp55*)	0.100		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_8|Chain H[auth AH]|28S ribosomal protein S10, mitochondrial|Homo sapiens (9606)	0.983	Possessing mitochondrial presequence	13(MPP)	0.231	11-15	12-21-high	-	-	-	-	-	-	2-7	-	9-14	1-6	-	-	-	-	
7QI4_79|Chain AC[auth k]|39S ribosomal protein L53, mitochondrial|Homo sapiens (9606)	0.519	Possessing mitochondrial presequence	32(MPP), 40(Oct1)	0.125		5-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_78|Chain ZB[auth j]|39S ribosomal protein L52, mitochondrial|Homo sapiens (9606)	0.961	Possessing mitochondrial presequence	29(MPP)	0.103	74-78	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_76|Chain XB[auth h]|39S ribosomal protein L50, mitochondrial|Homo sapiens (9606)	0.877	Possessing mitochondrial presequence	57(MPP)	0.070		21-30-low	-	-	-	-	-	-	-	2-7	-	1-6	-	-	-	-	
7QI4_74|Chain VB[auth f]|39S ribosomal protein L48, mitochondrial|Homo sapiens (9606)	0.899	Possessing mitochondrial presequence	47(MPP)	0.106	5-9,59-63	1-10-high	-	-	-	-	-	-	16-21	-	-	-	-	-	-	15-20	
7QI4_73|Chain UB[auth e]|39S ribosomal protein L46, mitochondrial|Homo sapiens (9606)	0.903	Possessing mitochondrial presequence	31(MPP), 32(Icp55*)	0.161	19-23	16-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_72|Chain TB[auth d]|39S ribosomal protein L45, mitochondrial|Homo sapiens (9606)	0.208	No mitochondrial presequence	37(MPP)	0.081	12-16	12-21-high	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
7QI4_71|Chain SB[auth c]|39S ribosomal protein L44, mitochondrial|Homo sapiens (9606)	0.882	Possessing mitochondrial presequence	50(MPP)	0.180	5-9,21-25	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_7|Chain G[auth AG]|28S ribosomal protein S9, mitochondrial|Homo sapiens (9606)	0.138	No mitochondrial presequence	49(MPP)	0.122		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_68|Chain PB[auth 9]|39S ribosomal protein L41, mitochondrial|Homo sapiens (9606)	0.688	Possessing mitochondrial presequence	10(MPP)	0.100	7-11	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_66|Chain NB[auth 7]|39S ribosomal protein L39, mitochondrial|Homo sapiens (9606)	0.538	Possessing mitochondrial presequence	26(MPP)	0.115	10-14	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_64|Chain LB[auth 5]|39S ribosomal protein L37, mitochondrial|Homo sapiens (9606)	0.498	Possessing mitochondrial presequence	29(MPP)	0.138	8-12,46-50	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_63|Chain KB[auth 4]|39S ribosomal protein L36, mitochondrial|Homo sapiens (9606)	0.807	Possessing mitochondrial presequence	36(MPP)	0.167	6-10,57-61	5-14-high	-	-	-	-	-	-	-	-	4-9	-	-	-	-	-	
7QI4_62|Chain JB[auth 3]|39S ribosomal protein L35, mitochondrial|Homo sapiens (9606)	0.513	Possessing mitochondrial presequence	46(MPP)	0.109	9-13,76-80	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_60|Chain HB[auth 1]|39S ribosomal protein L33, mitochondrial|Homo sapiens (9606)	0.044	No mitochondrial presequence	20(MPP)	0.200	17-21	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_59|Chain GB[auth 0]|39S ribosomal protein L32, mitochondrial|Homo sapiens (9606)	0.222	No mitochondrial presequence	27(MPP)	0.074	24-28	20-29-high	-	-	-	-	-	-	19-24	-	-	-	-	-	-	-	
7QI4_58|Chain FB[auth Z]|39S ribosomal protein L30, mitochondrial|Homo sapiens (9606)	0.259	No mitochondrial presequence	34(MPP)	0.059	4-8,85-89	16-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_57|Chain EB[auth Y]|39S ribosomal protein L47, mitochondrial|Homo sapiens (9606)	0.999	Possessing mitochondrial presequence	54(MPP), 62(Oct1)	0.111		9-18-high	-	-	-	-	-	-	-	-	8-13	-	7-12	-	-	-	
7QI4_56|Chain DB[auth X]|39S ribosomal protein L28, mitochondrial|Homo sapiens (9606)	0.403	Possessing mitochondrial presequence	31(MPP)	0.161		15-24-low	-	-	-	-	-	-	-	-	9-14	-	8-13	-	-	-	
7QI4_52|Chain ZA[auth T]|39S ribosomal protein L22, mitochondrial|Homo sapiens (9606)	0.752	Possessing mitochondrial presequence	72(MPP)	0.111	84-88	6-17-high	-	-	-	-	-	13-18	-	-	-	12-17	-	-	-	-	
7QI4_51|Chain YA[auth S]|39S ribosomal protein L21, mitochondrial|Homo sapiens (9606)	0.312	No mitochondrial presequence	39(MPP)	0.103	10-14,92-96	10-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_49|Chain WA[auth Q]|39S ribosomal protein L19, mitochondrial|Homo sapiens (9606)	0.419	Possessing mitochondrial presequence	43(MPP)	0.093	7-11	15-26-low	-	-	-	-	-	-	21-26	-	-	-	-	-	-	20-25	
7QI4_48|Chain VA[auth P]|39S ribosomal protein L18, mitochondrial|Homo sapiens (9606)	0.769	Possessing mitochondrial presequence	21(MPP)	0.190		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_46|Chain TA[auth N]|39S ribosomal protein L16, mitochondrial|Homo sapiens (9606)	0.985	Possessing mitochondrial presequence	74(MPP)	0.081	1-5	1-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_44|Chain RA[auth L]|39S ribosomal protein L14, mitochondrial|Homo sapiens (9606)	0.382	No mitochondrial presequence	17(MPP), 18(Icp55*)	0.059	14-18,54-58,57-61,87-91	3-12-low	21-26	-	-	-	-	-	-	-	-	-	-	13-18	14-19	-	
7QI4_40|Chain NA[auth H]|39S ribosomal protein L9, mitochondrial|Homo sapiens (9606)	0.886	Possessing mitochondrial presequence	21(MPP)	0.143	18-22,56-60,79-83	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_37|Chain KA[auth D]|39S ribosomal protein L2, mitochondrial|Homo sapiens (9606)	0.323	No mitochondrial presequence	52(MPP)	0.058	6-10	4-13-high	-	-	-	-	-	-	-	9-14	-	-	-	5-10	-	-	
7QI4_30|Chain DA[auth A3]|Aurora kinase A-interacting protein|Homo sapiens (9606)	0.903	Possessing mitochondrial presequence	48(MPP)	0.104	10-14	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_25|Chain Y[auth AY]|28S ribosomal protein S31, mitochondrial|Homo sapiens (9606)	0.224	No mitochondrial presequence	59(MPP)	0.136	56-60	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_23|Chain W[auth AW]|28S ribosomal protein S28, mitochondrial|Homo sapiens (9606)	0.654	Possessing mitochondrial presequence	28(MPP)	0.143	16-20	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_22|Chain V[auth AV]|28S ribosomal protein S27, mitochondrial|Homo sapiens (9606)	0.979	Possessing mitochondrial presequence	28(MPP)	0.179	72-76	17-29-high	-	-	-	-	-	-	12-17	-	-	11-16	-	-	-	-	
7QI4_21|Chain U[auth AU]|28S ribosomal protein S26, mitochondrial|Homo sapiens (9606)	0.999	Possessing mitochondrial presequence	26(MPP)	0.192	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_19|Chain S[auth AS]|28S ribosomal protein S23, mitochondrial|Homo sapiens (9606)	0.096	No mitochondrial presequence	16(MPP)	0.062	96-100	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_14|Chain N[auth AN]|28S ribosomal protein S17, mitochondrial|Homo sapiens (9606)	0.516	Possessing mitochondrial presequence	33(MPP)	0.242	14-18,30-34,39-43,65-69,88-92	14-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7QI4_12|Chain L[auth AL]|28S ribosomal protein S15, mitochondrial|Homo sapiens (9606)	0.991	Possessing mitochondrial presequence	52(MPP)	0.135	1-5,89-93	1-10-high	-	-	-	-	-	-	-	5-10	-	4-9	-	-	-	-	
7QI4_10|Chain J[auth AJ]|28S ribosomal protein S12, mitochondrial|Homo sapiens (9606)	0.486	Possessing mitochondrial presequence	24(MPP)	0.042	21-25	3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
