Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
6YWY_61|Chain IB[auth RR]|Ribosomal protein S18|Neurospora crassa (5141)	0.578	Possessing mitochondrial presequence	17(MPP)	0.176		5-14-high	-	13-18	-	-	-	11-16	-	-	-	-	-	-	-	10-15	
6YWY_60|Chain HB[auth QQ]|uS17m|Neurospora crassa (5141)	0.379	No mitochondrial presequence	18(MPP)	0.167	42-46,87-91	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_6|Chain F|uL6m|Neurospora crassa (5141)	0.075	No mitochondrial presequence	43(MPP), 51(Oct1)	0.093		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_59|Chain GB[auth PP]|bS16m|Neurospora crassa (5141)	0.638	Possessing mitochondrial presequence	27(MPP)	0.185	80-84	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_58|Chain FB[auth OO]|Related to ribosomal protein S15 (Mitochondrial)|Neurospora crassa (5141)	0.721	Possessing mitochondrial presequence	20(MPP)	0.150		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_55|Chain CB[auth LL]|Ribosomal protein S12|Neurospora crassa (5141)	0.968	Possessing mitochondrial presequence	36(MPP), 44(Oct1)	0.111	33-37,60-64	4-13-high	-	-	-	-	-	-	5-10	-	-	-	-	-	-	4-9	
6YWY_54|Chain BB[auth KK]|Translational machinery component|Neurospora crassa (5141)	0.007	No mitochondrial presequence	66(MPP)	0.091		18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_53|Chain AB[auth JJ]|30S ribosomal protein S10, mitochondrial|Neurospora crassa (5141)	0.994	Possessing mitochondrial presequence	35(MPP)	0.171		2-11-high	-	-	-	-	-	-	-	6-11	-	-	-	-	-	-	
6YWY_52|Chain ZA[auth II]|uS9m|Neurospora crassa (5141)	0.923	Possessing mitochondrial presequence	42(MPP), 43(Icp55)	0.119	74-78	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_50|Chain XA[auth GG]|Ribosomal_S7 domain-containing protein|Neurospora crassa (5141)	0.976	Possessing mitochondrial presequence	35(MPP)	0.114		6-15-high	-	-	-	-	-	-	-	10-15	-	9-14	-	-	-	-	
6YWY_5|Chain E|Related to ribosomal protein L5, mitochondrial|Neurospora crassa (5141)	0.998	Possessing mitochondrial presequence	26(MPP)	0.192	23-27,72-76	12-21-high	25-30	9-14	-	-	-	-	-	-	21-26	-	-	-	-	-	
6YWY_48|Chain VA[auth EE]|Related to ribosomal protein S5 (Mitochondrial)|Neurospora crassa (5141)	0.994	Possessing mitochondrial presequence	16(MPP)	0.250	3-7	12-21-high	-	-	-	-	-	-	7-12	-	-	6-11	-	-	-	-	
6YWY_46|Chain TA[auth CC]|Ribosomal protein S5|Neurospora crassa (5141)	0.373	No mitochondrial presequence	48(MPP)	0.125	22-26	19-28-low	24-29	-	-	-	-	-	-	-	-	-	-	21-26	22-27	-	
6YWY_45|Chain SA[auth BB]|Mito ribosomal protein S2|Neurospora crassa (5141)	1.000	Possessing mitochondrial presequence	30(MPP), 31(Icp55)	0.200		2-12-high	-	-	-	-	-	-	-	-	-	1-6	-	-	-	-	
6YWY_44|Chain RA[auth AA]|bS1m|Neurospora crassa (5141)	0.661	Possessing mitochondrial presequence	19(MPP), 20(Icp55)	0.158		3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_43|Chain QA[auth d]|mL67|Neurospora crassa (5141)	0.888	Possessing mitochondrial presequence	31(MPP)	0.097	9-13	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_42|Chain PA[auth c]|54S ribosomal protein L31, mitochondrial|Neurospora crassa (5141)	0.950	Possessing mitochondrial presequence	34(MPP)	0.265		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_40|Chain NA[auth a]|Related to ribosomal protein YmL20, mitochondrial|Neurospora crassa (5141)	0.144	No mitochondrial presequence	40(MPP)	0.100	15-19	7-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_4|Chain D|60S ribosomal protein L4, variant|Neurospora crassa (5141)	0.743	Possessing mitochondrial presequence	39(MPP)	0.154	96-100	7-16-high	-	21-26	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_38|Chain LA[auth i]|mL54|Neurospora crassa (5141)	0.999	Possessing mitochondrial presequence	16(MPP)	0.250		13-25-high	-	-	-	-	-	-	2-7	-	-	1-6	-	-	-	-	
6YWY_36|Chain JA[auth 8]|mL50|Neurospora crassa (5141)	0.472	Possessing mitochondrial presequence	69(MPP)	0.116		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_35|Chain IA[auth 7]|mL49|Neurospora crassa (5141)	0.986	Possessing mitochondrial presequence	30(MPP), 31(Icp55)	0.133	9-13,87-91	9-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_34|Chain HA[auth 6]|mL46|Neurospora crassa (5141)	0.892	Possessing mitochondrial presequence	41(MPP), 42(Icp55)	0.171		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_31|Chain EA[auth 3]|mL41|Neurospora crassa (5141)	0.428	Possessing mitochondrial presequence	32(MPP)	0.250		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_30|Chain DA[auth 2]|mL40|Neurospora crassa (5141)	0.300	No mitochondrial presequence	22(MPP)	0.273	96-100	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_3|Chain C|Related to ribosomal protein L3, mitochondrial|Neurospora crassa (5141)	0.924	Possessing mitochondrial presequence	19(MPP)	0.158		4-13-high	-	-	-	-	-	-	-	9-14	-	-	-	-	-	-	
6YWY_28|Chain BA[auth 0]|Ribosomal protein|Neurospora crassa (5141)	0.996	Possessing mitochondrial presequence	39(MPP), 40(Icp55)	0.128		3-12-high	-	-	-	-	-	-	4-9	-	-	-	-	-	-	3-8	
6YWY_27|Chain AA[auth Y]|Related to ribosomal protein L34, mitochondrial|Neurospora crassa (5141)	0.948	Possessing mitochondrial presequence	26(MPP), 27(Icp55)	0.154	1-5	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
6YWY_26|Chain Z[auth X]|bL33m|Neurospora crassa (5141)	0.359	No mitochondrial presequence	29(MPP)	0.207		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_25|Chain Y[auth W]|Related to ribosomal protein YmL32 (Mitochondrial)|Neurospora crassa (5141)	0.463	Possessing mitochondrial presequence	27(MPP)	0.074	12-16,61-65,81-85	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_24|Chain X[auth V]|Related to ribosomal protein YmL36, mitochondrial|Neurospora crassa (5141)	0.837	Possessing mitochondrial presequence	47(MPP)	0.106		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_22|Chain V[auth T]|54S ribosomal protein L4, mitochondrial|Neurospora crassa (5141)	0.461	Possessing mitochondrial presequence	20(MPP)	0.100	24-28	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_21|Chain U[auth S]|bL28m|Neurospora crassa (5141)	0.071	No mitochondrial presequence	33(MPP), 41(Oct1)	0.091		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_20|Chain T[auth R]|Related to 60s ribosomal protein L2 (Mitochondrial)|Neurospora crassa (5141)	0.815	Possessing mitochondrial presequence	60(MPP)	0.067	10-14	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_2|Chain B|60S ribosomal protein L2, mitochondrial|Neurospora crassa (5141)	0.960	Possessing mitochondrial presequence	28(MPP), 29(Icp55)	0.107	25-29,30-34	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_18|Chain R[auth P]|uL23m|Neurospora crassa (5141)	0.023	No mitochondrial presequence	36(MPP)	0.139	62-66	4-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_17|Chain Q[auth O]|Mitochondrial large ribosomal subunit|Neurospora crassa (5141)	0.572	Possessing mitochondrial presequence	34(MPP), 42(Oct1)	0.118		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_16|Chain P[auth N]|Related to ribosomal protein YmL49, mitochondrial|Neurospora crassa (5141)	0.960	Possessing mitochondrial presequence	33(MPP), 41(Oct1)	0.152	1-5,30-34	12-23-high	-	-	-	-	-	-	5-10	-	-	4-9	-	-	-	-	
6YWY_15|Chain O[auth M]|bL19m|Neurospora crassa (5141)	0.808	Possessing mitochondrial presequence	26(MPP), 27(Icp55)	0.154	47-51,85-89	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_13|Chain M[auth K]|Related to ribosomal protein L16, mitochondrial|Neurospora crassa (5141)	0.890	Possessing mitochondrial presequence	52(MPP), 60(Oct1)	0.115		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_12|Chain L[auth J]|Ribosomal protein L15|Neurospora crassa (5141)	0.704	Possessing mitochondrial presequence	46(MPP)	0.087	10-14	7-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
